Time,Trip Time,Lost Packets,Voltage,roboRIO CPU,CAN,DS Disabled,DS Auto,DS Tele,Robot Disabled,Robot Auto,Robot Tele,Brownout,Watchdog,
19:43:49.179,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.199,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.219,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.239,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.259,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.279,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.299,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.319,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.339,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.359,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.379,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.399,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.419,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.439,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.459,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.479,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.499,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.519,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.539,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.559,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.579,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.599,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.619,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.639,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.659,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.679,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.699,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.719,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.739,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.759,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.779,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.799,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.819,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.839,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.859,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.879,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.899,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.919,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.939,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.959,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.979,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.999,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.019,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.039,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.059,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.079,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.099,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.119,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.139,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.159,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
